TEAM,GP,W,L,W%,POST W,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,WON
Atlanta Hawks,72,41,31,0.569444444,10,3481,114,112,2,59,1.82,18,28,74,51.6,13,53.9,58,99,51,"7,160",0
Boston Celtics,72,36,36,0.5,1,"3,476",113.1,112,1.2,57,2,17,28.9,74,51,14,54,57,98.94,50,"7,172",0
Brooklyn Nets,72,48,24,0.666666667,7,3481,117.3,113,4,62,1.98,19,25,73,50.3,13,57.5,61,100.27,53,"7,280",0
Charlotte Hornets,72,33,39,0.458333333,0,"3,471",110,112,-1.9,67,2,19,28,72,49.6,15,53,56,99,49,"7,159",0
Chicago Bulls,72,31,41,0.430555556,0,3476,110.4,111.5,-1.1,64,1.77,19,26.7,77,52,15,54.7,58,99.58,50,"7,220",0
Cleveland Cavaliers,72,22,50,0.305555556,0,"3,486",105,114,-8,62,1.54,18,28,73,49.9,16,50.8,54,98,46,"7,107",0
Dallas Mavericks,72,42,30,0.583333333,3,3461,114.6,112.3,2.3,55.7,1.9,17,25,73,49.6,12,55,58,98,51,"7,062",0
Denver Nuggets,72,47,25,0.652777778,4,"3,496",116,112,5,62,2,19,29.2,75,52,14,56,59,97.74,53,"7,123",0
Detroit Pistons,72,20,52,0.277777778,0,3486,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,73,49,15,51.9,56,98.19,47,"7,132",0
Golden State Warriors,72,39,33,0.541666667,0,"3,461",111,109,1,67,2,20,22,73,48,15,55.1,58,102.81,51,"7,412",0
Houston Rockets,72,17,55,0.236111111,0,3461,107,114.4,-7.4,60.1,1.6,17.2,24,72.3,47.4,15,52.1,55,102,45,"7,320",0
Indiana Pacers,72,34,38,0.472222222,0,"3,491",112,112,0,63,2,19,25,70,48,13,54.2,58,102.05,50,"7,419",0
LA Clippers,72,47,25,0.652777778,10,3456,116.7,110.6,6.1,58.4,1.85,18.1,27,75.4,51.8,13.5,56.4,60,98,53,"7,036",0
Los Angeles Lakers,72,42,30,0.583333333,2,"3,491",110,107,3,61,2,18,27,75,51,15,54,57,98.85,52,"7,184",0
Memphis Grizzlies,72,38,34,0.527777778,1,3481,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56,100.77,51,"7,302",0
Miami Heat,72,40,32,0.555555556,0,3476,110.6,111,0,67,2,20,24,73,49,14,55,58,97,51,"7,036",0
Milwaukee Bucks,72,46,26,0.638888889,16,3466,116.5,111,6,57,2,18,27,76,52,13,57,59,103,53,"7,423",1
Minnesota Timberwolves,72,23,49,0.319444444,0,3481,109.3,114.5,-5,63,2,18,27,72,48,14,52,56,102,47,"7,389",0
New Orleans Pelicans,72,31,41,0.430555556,0,3486,113,113.3,-0.3,61,2,18,30,76,53,14,54,57,101,51,"7,303",0
New York Knicks,72,41,31,0.569444444,1,3486,110.2,107.8,2.4,54.3,2,16,26,74,51,13,52,56,96,50,"6,994",0
Oklahoma City Thunder,72,22,50,0.305555556,0,3471,102.8,113.4,-10.6,56.8,1.37,16,25,74,49,16,51,54,102,44,"7,353",0
Orlando Magic,72,21,51,0.291666667,0,3466,104.6,113.9,-9.3,57,1.7,16.3,25,74,49,13,49,53,99,45,"7,158",0
Philadelphia 76ers,72,49,23,0.680555556,7,3486,112.5,107,5.5,57.2,1.64,17.2,27.7,74,51,14,54,58,100,54,"7,272",0
Phoenix Suns,72,51,21,0.708333333,14,3496,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50,13,56,60,98,53,"7,137",0
Portland Trail Blazers,72,42,30,0.583333333,2,3461,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,58,99,49,"7,137",0
Sacramento Kings,72,31,41,0.430555556,0,3461,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,58,101,48,"7,266",0
San Antonio Spurs,72,33,39,0.458333333,0,3496,110.5,112,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99,49,"7,236",0
Toronto Raptors,72,27,45,0.375,0,3461,111.6,112,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,49,"7,177",0
Utah Jazz,72,52,20,0.722222222,6,3471,116.5,107.5,9,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54,"7,193",0
Washington Wizards,72,34,38,0.472222222,1,3481,110.7,112.3,-1.6,59,1.77,17.8,25,73.6,49.4,13.7,53.1,56.9,104.67,49.6,"7,585",0
